i,j,age,age2,education,female,impact,ind_unc,j_,lr_i,lr_i_unc,lr_ij,lr_ij_unc,lr_j,lr_j_unc,polinterest,risk,satisdmo,sq,sq_unc,ut_ij,ut_j,vote,vote_ij
164,2,62,3844,1,1,2,0,SPD,0,0,-3,1,-1.3013183,1.1161331,3,3,2,-3,1,-3,-1.3013183,1,0
164,3,62,3844,1,1,2,0,Grüne,0,0,-4,1,-1.7564344,1.165725,3,3,2,-3,1,-4,-1.7564344,1,0
164,4,62,3844,1,1,2,0,AfD,0,0,5,0,3.1958568,.6836158,3,3,2,-3,1,-5,-3.1958568,1,0
164,5,62,3844,1,1,2,0,Linke,0,0,-5,0,-3.566855,.7859385,3,3,2,-3,1,-5,-3.566855,1,0
164,6,62,3844,1,1,2,0,FDP,0,0,-2,1,-.28876334,1.2912743,3,3,2,-3,1,-2,-.28876334,1,0
165,1,24,576,3,0,2,3,CDU/CSU,1,1,0,1,-.017576899,1.1010672,3,1,3,-2,1,-1,-1.0175769,1,1
165,2,24,576,3,0,2,3,SPD,1,1,-1,1,-1.3013183,1.1161331,3,1,3,-2,1,-2,-2.3013182,1,0
165,3,24,576,3,0,2,3,Grüne,1,1,-3,1,-1.7564344,1.165725,3,1,3,-2,1,-4,-2.7564344,1,0
165,4,24,576,3,0,2,3,AfD,1,1,2,1,3.1958568,.6836158,3,1,3,-2,1,-1,-2.1958568,1,0
165,5,24,576,3,0,2,3,Linke,1,1,-4,1,-3.566855,.7859385,3,1,3,-2,1,-5,-4.566855,1,0
165,6,24,576,3,0,2,3,FDP,1,1,1,1,-.28876334,1.2912743,3,1,3,-2,1,0,-1.2887633,1,0
166,1,60,3600,4,1,2,1,CDU/CSU,-3,0,1,0,-.017576899,1.1010672,4,1,3,-1,1,-4,-2.9824231,2,0
166,2,60,3600,4,1,2,1,SPD,-3,0,-2,0,-1.3013183,1.1161331,4,1,3,-1,1,-1,-1.6986817,2,1
166,3,60,3600,4,1,2,1,Grüne,-3,0,2,1,-1.7564344,1.165725,4,1,3,-1,1,-5,-1.2435656,2,0
166,4,60,3600,4,1,2,1,AfD,-3,0,5,0,3.1958568,.6836158,4,1,3,-1,1,-8,-6.195857,2,0
166,5,60,3600,4,1,2,1,Linke,-3,0,-4,0,-3.566855,.7859385,4,1,3,-1,1,-1,-.56685495,2,0
166,6,60,3600,4,1,2,1,FDP,-3,0,2,1,-.28876334,1.2912743,4,1,3,-1,1,-5,-2.7112367,2,0
167,1,51,2601,4,0,2,1,CDU/CSU,1,0,3,0,-.017576899,1.1010672,4,1,3,-1,1,-2,-1.0175769,6,0
167,2,51,2601,4,0,2,1,SPD,1,0,-2,0,-1.3013183,1.1161331,4,1,3,-1,1,-3,-2.3013182,6,0
167,3,51,2601,4,0,2,1,Grüne,1,0,-3,0,-1.7564344,1.165725,4,1,3,-1,1,-4,-2.7564344,6,0
167,4,51,2601,4,0,2,1,AfD,1,0,5,1,3.1958568,.6836158,4,1,3,-1,1,-4,-2.1958568,6,0
167,5,51,2601,4,0,2,1,Linke,1,0,-4,0,-3.566855,.7859385,4,1,3,-1,1,-5,-4.566855,6,0
167,6,51,2601,4,0,2,1,FDP,1,0,1,0,-.28876334,1.2912743,4,1,3,-1,1,0,-1.2887633,6,1
169,1,48,2304,3,0,2,2,CDU/CSU,-1,2,1,1,-.017576899,1.1010672,3,3,4,0,1,-2,-.98242313,3,0
169,2,48,2304,3,0,2,2,SPD,-1,2,-1,1,-1.3013183,1.1161331,3,3,4,0,1,0,-.30131829,3,0
169,3,48,2304,3,0,2,2,Grüne,-1,2,0,1,-1.7564344,1.165725,3,3,4,0,1,-1,-.75643444,3,1
169,4,48,2304,3,0,2,2,AfD,-1,2,3,1,3.1958568,.6836158,3,3,4,0,1,-4,-4.195857,3,0
169,5,48,2304,3,0,2,2,Linke,-1,2,-3,1,-3.566855,.7859385,3,3,4,0,1,-2,-2.566855,3,0
169,6,48,2304,3,0,2,2,FDP,-1,2,1,1,-.28876334,1.2912743,3,3,4,0,1,-2,-.71123666,3,0
170,1,57,3249,2,1,2,2,CDU/CSU,-1,1,0,2,-.017576899,1.1010672,2,3,2,0,2,-1,-.98242313,5,0
170,2,57,3249,2,1,2,2,SPD,-1,1,-2,2,-1.3013183,1.1161331,2,3,2,0,2,-1,-.30131829,5,0
170,3,57,3249,2,1,2,2,Grüne,-1,1,0,3,-1.7564344,1.165725,2,3,2,0,2,-1,-.75643444,5,0
170,4,57,3249,2,1,2,2,AfD,-1,1,4,1,3.1958568,.6836158,2,3,2,0,2,-5,-4.195857,5,0
170,5,57,3249,2,1,2,2,Linke,-1,1,-4,2,-3.566855,.7859385,2,3,2,0,2,-3,-2.566855,5,1
170,6,57,3249,2,1,2,2,FDP,-1,1,0,3,-.28876334,1.2912743,2,3,2,0,2,-1,-.71123666,5,0
171,1,56,3136,2,1,3,1,CDU/CSU,3,0,-3,0,-.017576899,1.1010672,3,3,0,-5,0,-6,-3.0175769,4,0
171,2,56,3136,2,1,3,1,SPD,3,0,-5,0,-1.3013183,1.1161331,3,3,0,-5,0,-8,-4.3013182,4,0
171,3,56,3136,2,1,3,1,Grüne,3,0,-5,0,-1.7564344,1.165725,3,3,0,-5,0,-8,-4.7564344,4,0
171,4,56,3136,2,1,3,1,AfD,3,0,3,0,3.1958568,.6836158,3,3,0,-5,0,0,-.19585681,4,1
171,5,56,3136,2,1,3,1,Linke,3,0,-5,0,-3.566855,.7859385,3,3,0,-5,0,-8,-6.566855,4,0
