exp,vignette,positions,types,i,unc,vote,vote_spa,vote_straight_A,vote_straight_B,vote_straight_cer,vote_straight_spa,vote_straight_unc,vote_unc,ut_A,ut_B,ut_B_A,ut_B_A_sq,ut_cer,ut_unc,ut_unc_cer,ut_unc_cer_sq,ut_unc_max,ut_unc_min,lr_A,lr_B,lr_cer,lr_i,lr_i_unc,lr_i_unc_cat,lr_unc,lr_unc_max,lr_unc_min,age,education,female,impact,impact_cat,ind_unc,polinterest,risk,risk_cat,satisdmo,sq,sq_unc,switch_1_2,switch_1_2_cer,switch_1_2_unc
2:risk,,new,both right,1676,Party B,Party A,yes,no,no,no,yes,no,no,-2,-4,-2,12,-2,-4,-2,12,,,2,4,2,0,ziemlich sicher,sicher,4,,,58,Realschule,f,gering,gering,2,mittelmäßig,Sicherheit,avers,teils/ teils,0,weder/noch,,,
2:risk,,new,left/right,1680,Party B,Party A,yes,yes,no,yes,no,no,no,-2,-3,-1,5,-2,-3,-1,5,,,-2,3,-2,0,ziemlich sicher,sicher,3,,,66,Hauptschule,m,gering,gering,0,mittelmäßig,Sicherheit,avers,teils/ teils,2,weder/noch,,,
2:risk,,new,both left,1682,Party B,Party A,no,yes,no,no,no,no,no,-4,-2,2,-12,-4,-2,2,-12,,,-4,-2,-4,0,ziemlich sicher,sicher,-2,,,61,Realschule,m,gering,gering,2,ziemlich stark,manchmal Risiken,affin,teils/ teils,0,ziemlich sicher,,,
2:risk,,new,both left,1685,Party A,Party B,yes,no,no,no,yes,no,no,-3,-3,0,0,-3,-3,0,0,,,-1,-1,-1,2,weder/noch,unsicher,-1,,,35,Realschule,f,groß,groß,0,mittelmäßig,Sicherheit,avers,teils/ teils,2,ziemlich sicher,,,
2:risk,,new,both right,1692,Party A,Party A,yes,no,no,no,yes,no,yes,-3,-4,-1,7,-4,-3,1,-7,,,1,2,2,-2,sehr sicher,sicher,1,,,58,Hochschulstudium,m,groß,groß,1,mittelmäßig,manchmal Risiken,affin,teils/ teils,2,ziemlich sicher,,,
2:risk,,new,both right,1694,Party A,Party A,yes,no,no,no,yes,no,yes,-2,-5,-3,21,-5,-2,3,-21,,,1,4,4,-1,ziemlich sicher,sicher,1,,,25,Realschule,f,sehr groß,groß,1,mittelmäßig,manchmal Risiken,affin,sehr unzufrieden,-1,ziemlich sicher,,,
2:risk,,new,both left,1697,Party A,Party B,yes,no,no,no,yes,no,no,-5,-3,2,-16,-3,-5,-2,16,,,-3,-1,-1,2,ziemlich sicher,sicher,-3,,,59,Hauptschule,m,gering,gering,1,mittelmäßig,unbedingte Sicherheit,avers,teils/ teils,0,sehr sicher,,,
2:risk,,new,left/right,1700,Party A,Party B,yes,no,no,no,yes,no,no,-3,-2,1,-5,-2,-3,-1,5,,,-4,1,1,-1,sehr sicher,sicher,-4,,,56,Realschule,f,groß,groß,1,ziemlich stark,unbedingte Sicherheit,avers,ziemlich zufrieden,0,ziemlich unsicher,,,
2:risk,,new,both right,1701,Party B,Party A,yes,no,no,no,yes,no,no,-1,-7,-6,48,-1,-7,-6,48,,,-3,3,-3,-4,ziemlich sicher,sicher,3,,,59,Hauptschule,f,groß,groß,0,mittelmäßig,Sicherheit,avers,ziemlich zufrieden,-4,ziemlich sicher,,,
2:risk,,new,both right,1706,Party B,Party A,yes,no,no,no,yes,no,no,-1,-3,-2,8,-1,-3,-2,8,,,-2,0,-2,-3,ziemlich sicher,sicher,0,,,53,Hauptschule,m,gering,gering,1,mittelmäßig,unbedingte Sicherheit,avers,ziemlich unzufrieden,0,weder/noch,,,
